Survived,Pclass,Sex,Age,Fare,Embarked,Title,Surname,FamilySize
0,3,male,22.0,7.25,S,Mr,Braund,2
1,1,female,38.0,71.2833,C,Mrs,Cumings,2
1,3,female,26.0,7.925,S,Miss,Heikkinen,1
1,1,female,35.0,53.1,S,Mrs,Futrelle,2
0,3,male,35.0,8.05,S,Mr,Allen,1
0,3,male,30.72664459161148,8.4583,Q,Mr,Moran,1
0,1,male,54.0,51.8625,S,Mr,McCarthy,1
0,3,male,2.0,21.075,S,Master,Palsson,5
1,3,female,27.0,11.1333,S,Mrs,Johnson,3
1,2,female,14.0,30.0708,C,Mrs,Nasser,2
1,3,female,4.0,16.7,S,Miss,Sandstrom,3
1,1,female,58.0,26.55,S,Miss,Bonnell,1
0,3,male,20.0,8.05,S,Mr,Saundercock,1
0,3,male,39.0,31.275,S,Mr,Andersson,7
0,3,female,14.0,7.8542,S,Miss,Vestrom,1
1,2,female,55.0,16.0,S,Mrs,Hewlett,1
0,3,male,2.0,29.125,Q,Master,Rice,6
1,2,male,30.72664459161148,13.0,S,Mr,Williams,1
0,3,female,31.0,18.0,S,Mrs,Vander Planke,2
1,3,female,27.915708812260537,7.225,C,Mrs,Masselmani,1
0,2,male,35.0,26.0,S,Mr,Fynney,1
1,2,male,34.0,13.0,S,Mr,Beesley,1
1,3,female,15.0,8.0292,Q,Miss,McGowan,1
1,1,male,28.0,35.5,S,Mr,Sloper,1
0,3,female,8.0,21.075,S,Miss,Palsson,5
1,3,female,38.0,31.3875,S,Mrs,Asplund,7
0,3,male,30.72664459161148,7.225,C,Mr,Emir,1
0,1,male,19.0,263.0,S,Mr,Fortune,6
1,3,female,27.915708812260537,7.8792,Q,Miss,O'Dwyer,1
0,3,male,30.72664459161148,7.8958,S,Mr,Todoroff,1
0,1,male,40.0,27.7208,C,Rare,Uruchurtu,1
1,1,female,27.915708812260537,146.5208,C,Mrs,Spencer,2
1,3,female,27.915708812260537,7.75,Q,Miss,Glynn,1
0,2,male,66.0,10.5,S,Mr,Wheadon,1
0,1,male,28.0,82.1708,C,Mr,Meyer,2
0,1,male,42.0,52.0,S,Mr,Holverson,2
1,3,male,30.72664459161148,7.2292,C,Mr,Mamee,1
0,3,male,21.0,8.05,S,Mr,Cann,1
0,3,female,18.0,18.0,S,Miss,Vander Planke,3
1,3,female,14.0,11.2417,C,Miss,Nicola-Yarred,2
0,3,female,40.0,9.475,S,Mrs,Ahlin,2
0,2,female,27.0,21.0,S,Mrs,Turpin,2
0,3,male,30.72664459161148,7.8958,C,Mr,Kraeff,1
1,2,female,3.0,41.5792,C,Miss,Laroche,4
1,3,female,19.0,7.8792,Q,Miss,Devaney,1
0,3,male,30.72664459161148,8.05,S,Mr,Rogers,1
0,3,male,30.72664459161148,15.5,Q,Mr,Lennon,2
1,3,female,27.915708812260537,7.75,Q,Miss,O'Driscoll,1
0,3,male,30.72664459161148,21.6792,C,Mr,Samaan,3
0,3,female,18.0,17.8,S,Mrs,Arnold-Franchi,2
0,3,male,7.0,39.6875,S,Master,Panula,6
0,3,male,21.0,7.8,S,Mr,Nosworthy,1
1,1,female,49.0,76.7292,C,Mrs,Harper,2
1,2,female,29.0,26.0,S,Mrs,Faunthorpe,2
0,1,male,65.0,61.9792,C,Mr,Ostby,2
1,1,male,30.72664459161148,35.5,S,Mr,Woolner,1
1,2,female,21.0,10.5,S,Miss,Rugg,1
0,3,male,28.5,7.2292,C,Mr,Novel,1
1,2,female,5.0,27.75,S,Miss,West,4
0,3,male,11.0,46.9,S,Master,Goodwin,8
0,3,male,22.0,7.2292,C,Mr,Sirayanian,1
1,1,female,38.0,80.0,,Miss,Icard,1
0,1,male,45.0,83.475,S,Mr,Harris,2
0,3,male,4.0,27.9,S,Master,Skoog,6
0,1,male,30.72664459161148,27.7208,C,Mr,Stewart,1
1,3,male,30.72664459161148,15.2458,C,Master,Moubarek,3
1,2,female,29.0,10.5,S,Mrs,Nye,1
0,3,male,19.0,8.1583,S,Mr,Crease,1
1,3,female,17.0,7.925,S,Miss,Andersson,7
0,3,male,26.0,8.6625,S,Mr,Kink,3
0,2,male,32.0,10.5,S,Mr,Jenkin,1
0,3,female,16.0,46.9,S,Miss,Goodwin,8
0,2,male,21.0,73.5,S,Mr,Hood,1
0,3,male,26.0,14.4542,C,Mr,Chronopoulos,2
1,3,male,32.0,56.4958,S,Mr,Bing,1
0,3,male,25.0,7.65,S,Mr,Moen,1
0,3,male,30.72664459161148,7.8958,S,Mr,Staneff,1
0,3,male,30.72664459161148,8.05,S,Mr,Moutal,1
1,2,male,0.83,29.0,S,Master,Caldwell,3
1,3,female,30.0,12.475,S,Miss,Dowdell,1
0,3,male,22.0,9.0,S,Mr,Waelens,1
1,3,male,29.0,9.5,S,Mr,Sheerlinck,1
1,3,female,27.915708812260537,7.7875,Q,Miss,McDermott,1
0,1,male,28.0,47.1,S,Mr,Carrau,1
